CustomDataset: images.shape=(18900, 3, 128, 128), labels.shape=(18900,)
Epoch 123/500, Train Loss: -6.0300, Val Loss: -5.5927, Recon MSE: 0.000967, Probing Acc: 0.0696, Score: 0.013901
Epoch 124/500, Train Loss: -6.0303, Val Loss: -5.7423, Recon MSE: 0.000937, Probing Acc: 0.0698, Score: 0.013414
Epoch 125/500, Train Loss: -6.0327, Val Loss: -5.9022, Recon MSE: 0.000939, Probing Acc: 0.0751, Score: 0.012494
Epoch 126/500, Train Loss: -6.0407, Val Loss: -5.7198, Recon MSE: 0.000936, Probing Acc: 0.0778, Score: 0.012033
Epoch 127/500, Train Loss: -6.0435, Val Loss: -5.9624, Recon MSE: 0.000936, Probing Acc: 0.0786, Score: 0.011912
Epoch 128/500, Train Loss: -6.0451, Val Loss: -5.5628, Recon MSE: 0.000943, Probing Acc: 0.0749, Score: 0.012598
Epoch 129/500, Train Loss: -6.0447, Val Loss: -5.8276, Recon MSE: 0.000921, Probing Acc: 0.0775, Score: 0.011888
Epoch 130/500, Train Loss: -6.0519, Val Loss: -5.9103, Recon MSE: 0.000950, Probing Acc: 0.0767, Score: 0.012379
Epoch 131/500, Train Loss: -6.0490, Val Loss: -5.5920, Recon MSE: 0.000927, Probing Acc: 0.0622, Score: 0.014904
Epoch 132/500, Train Loss: -6.0501, Val Loss: -5.8668, Recon MSE: 0.000917, Probing Acc: 0.0646, Score: 0.014211
Epoch 133/500, Train Loss: -6.0585, Val Loss: -5.7536, Recon MSE: 0.000921, Probing Acc: 0.0765, Score: 0.012047
Epoch 134/500, Train Loss: -6.0617, Val Loss: -5.7527, Recon MSE: 0.000956, Probing Acc: 0.0738, Score: 0.012951
Epoch 135/500, Train Loss: -6.0580, Val Loss: -5.7791, Recon MSE: 0.000928, Probing Acc: 0.0698, Score: 0.013289
Epoch 136/500, Train Loss: -6.0677, Val Loss: -5.9233, Recon MSE: 0.000906, Probing Acc: 0.0735, Score: 0.012322
Epoch 137/500, Train Loss: -6.0655, Val Loss: -5.7222, Recon MSE: 0.000950, Probing Acc: 0.0794, Score: 0.011964
Epoch 138/500, Train Loss: -6.0714, Val Loss: -5.7989, Recon MSE: 0.000936, Probing Acc: 0.0714, Score: 0.013101
Epoch 139/500, Train Loss: -6.0748, Val Loss: -5.2824, Recon MSE: 0.000979, Probing Acc: 0.0566, Score: 0.017296
Epoch 140/500, Train Loss: -6.0780, Val Loss: -5.8406, Recon MSE: 0.000944, Probing Acc: 0.0767, Score: 0.012301
